date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2018-08-12 00:00:00+00:00,332.49,317.31,-4.56,0,1.054067
2018-08-13 00:00:00+00:00,317.31,317.96,0.20,0,1.077829
2018-08-14 00:00:00+00:00,317.96,284.96,-10.38,29,1.018857
2018-08-15 00:00:00+00:00,284.96,277.75,-2.53,0,1.064815
2018-08-16 00:00:00+00:00,277.75,281.14,1.22,0,1.082293
2018-08-17 00:00:00+00:00,281.14,286.32,1.84,0,1.084906
2018-08-18 00:00:00+00:00,286.32,314.79,9.94,0,1.112337
2018-08-19 00:00:00+00:00,314.79,293.18,-6.87,0,1.041066
2018-08-20 00:00:00+00:00,293.18,299.44,2.13,0,1.086112
2018-08-21 00:00:00+00:00,299.44,271.06,-9.48,0,1.025087
2018-08-22 00:00:00+00:00,271.06,280.37,3.44,0,1.091252
2018-08-23 00:00:00+00:00,280.37,269.25,-3.97,0,1.057385
2018-08-24 00:00:00+00:00,269.25,275.81,2.44,0,1.087334
2018-08-25 00:00:00+00:00,275.81,281.73,2.15,0,1.086173
2018-08-26 00:00:00+00:00,281.73,277.97,-1.34,0,1.070717
2018-08-27 00:00:00+00:00,277.97,273.50,-1.61,0,1.069382
2018-08-28 00:00:00+00:00,273.50,286.96,4.92,0,1.096763
2018-08-29 00:00:00+00:00,286.96,296.30,3.25,0,1.090545
2018-08-30 00:00:00+00:00,296.30,288.51,-2.63,0,1.064358
2018-08-31 00:00:00+00:00,288.51,285.10,-1.18,0,1.071460
2018-09-01 00:00:00+00:00,285.10,282.22,-1.01,0,1.072262
2018-09-02 00:00:00+00:00,282.22,295.65,4.76,0,1.096179
2018-09-03 00:00:00+00:00,295.65,294.59,-0.36,0,1.075299
2018-09-04 00:00:00+00:00,294.59,288.85,-1.95,0,1.067827
2018-09-05 00:00:00+00:00,288.85,285.49,-1.17,0,1.071574
2018-09-06 00:00:00+00:00,285.49,232.60,-18.53,500,0.957571
2018-09-07 00:00:00+00:00,232.60,229.37,-1.38,0,1.070482
2018-09-08 00:00:00+00:00,229.37,215.43,-6.08,0,1.045835
2018-09-09 00:00:00+00:00,215.43,196.87,-8.62,0,1.030047
2018-09-10 00:00:00+00:00,196.87,195.88,-0.50,0,1.074636
2018-09-11 00:00:00+00:00,195.88,196.36,0.25,0,1.078034
